Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debtor Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity
2009,Imperial Oil,Energy,32.85,18736.96,4758.161,1389.52,1.79,2534.401,8306.32,1400.08,-1950.08,-735.68,0.9302,0.3156,18.5127,10.0007,14.1962,7.4159,-0.7129,19.0412
2022,Canada National Railways,Public Sector,83.47,13158.7,9536.541,3936.766,5.7228,6591.274,16448.57,5128.256,-1930.692,-3589.856,0.8373,0.7215,23.9338,10.1023,14.3137,29.9176,-0.2058,24.3958
2021,Canada National Railways,Public Sector,90.2,11551.2,8682.748,3903.327,5.495,5756.051,18147.44,5562.161,-2292.367,-3077.5,1.0981,0.5489,21.509,10.0787,14.0895,33.7915,1.1261,21.9323
2020,Canada National Railways,Public Sector,78.04,10315.88,7849.448,2659.033,3.73,4752.219,14669.47,4602.172,-2199.189,-2020.776,0.9475,0.6568,18.1263,7.9502,11.2554,25.7761,1.3108,18.5231
2019,Canada National Railways,Public Sector,65.47,11241.45,8299.396,3177.177,4.3935,5392.008,13595.7,4463.573,-3157.584,-1434.101,0.6601,0.7647,23.369,9.6291,14.097,28.2631,-0.553,23.9382
2018,Canada National Railways,Public Sector,54.56,11048.65,8191.787,3339.052,4.5287,5263.173,13610.03,4565.737,-2626.186,-1780.622,0.7794,0.7125,24.5338,10.5013,14.9108,30.2214,-0.1966,24.9108
2017,Canada National Railways,Public Sector,60.55,10059.83,7644.574,4230.357,5.5849,5275.604,12848.44,4255.042,-2112.093,-2233.203,0.5498,0.6501,32.9251,14.5739,21.5872,42.052,0.3837,33.439
2016,Canada National Railways,Public Sector,52.3,9090.343,7094.349,2748.928,3.527,4936.743,11207.92,3928.55,-2005.056,-1917.453,0.7005,0.7369,24.5267,9.8227,14.9862,30.2401,0.1432,25.012
2015,Canada National Railways,Public Sector,44.23,9881.854,7520.113,2772.341,3.44,5033.782,11714.67,4027.653,-2215.209,-1741.921,0.7181,0.6975,23.6656,9.7192,14.7817,28.0549,0.076,24.1832
2014,Canada National Railways,Public Sector,54.35,10994.61,5772.76,2869.61,3.47,5141.21,12205.16,3969.62,-1971.67,-2147.45,0.9387,0.6243,22.8604,9.6857,14.433,26.1002,0.4251,23.4344
2013,Canada National Railways,Public Sector,47.23,10272.55,5267.9,2537.29,2.77,4714.21,12582.54,3446.52,-1799.03,-1608.63,0.7914,0.6053,18.3844,7.8949,12.044,24.6997,-0.0066,21.6603
2012,Canada National Railways,Public Sector,38.83,9925.95,5199.12,2681.6,3.07,4611.77,11024.61,3061.83,-1421.85,-1582.94,0.8484,0.6262,22.066,9.1197,14.0201,27.0161,-0.0408,22.5762
2011,Canada National Railways,Public Sector,34.9,9136.33,4740.21,2486.48,2.68,4230.17,10808.16,3011.71,-1749.74,-1669.8,1.0775,0.6157,20.1264,8.259,12.5548,27.2153,0.2825,20.6306
2010,Canada National Railways,Public Sector,30.65,8056.38,4339.4,2042.98,2.225,3746.12,10956.76,2912.02,-1342.89,-1441.93,0.8342,0.538,17.8812,8.0049,11.9995,25.3585,0.6028,19.062
2009,Canada National Railways,Public Sector,25.58,6485.17,3411.17,1632.07,1.845,2813.45,9888.4,2006.2,-1264.99,-778.18,1.2045,0.5752,14.7576,6.5845,9.406,25.1662,1.03,16.2889
2022,Sunco Energy,Energy,44.01,44972.82,27707.35,6982.028,5.0229,17778.52,30281.1,12061.06,-3683.699,-8636.577,1.1295,0.3202,23.0574,10.727,18.4616,15.525,1.9754,25.3682
2021,Sunco Energy,Energy,36.63,31198.69,19014.75,3286.55,2.2102,10113.38,29214.31,9386.495,-3173.248,-5955.525,1.0556,0.4234,11.2498,4.9189,8.1398,10.5343,4.6194,12.4475
2020,Sunco Energy,Energy,25.61,18701.32,10840.67,-3224.134,-2.1126,3291.319,26692.6,1996.887,-3377.166,1333.249,0.8898,0.5255,-12.0788,-5.1042,-8.7131,-17.2401,-3.0568,-13.3183
2019,Sunco Energy,Energy,50.2,29382.11,18828.7,2184.686,1.402,10352.96,31682.85,7853.266,-3834.317,-4172.683,0.9401,0.3577,6.8955,3.2415,5.278,7.4354,-0.0102,7.4364
2018,Sunco Energy,Energy,43.38,30077.7,18156.48,2540.55,1.5584,8271.252,33949.86,8162.47,-5166.735,-3414.659,0.8439,0.3943,7.4832,3.6761,5.6879,8.4466,0.6249,8.0427
2017,Sunco Energy,Energy,58.37,24820.57,15441.89,3438.901,2.067,8884.215,35008.45,6916.373,-3871.656,-3257.622,1.0021,0.3433,9.8231,4.9813,7.5874,13.8551,2.1806,10.5335
2016,Sunco Energy,Energy,111.29,20366.23,12097.55,327.7568,0.204,5020.57,33704.57,4289.536,-5669.287,656.2688,1.3575,0.3905,0.9971,0.5017,0.7327,1.6093,-0.5828,1.0709
2015,Sunco Energy,Energy,37.31,23257.25,13325.12,-1563.282,-1.0814,6206.111,30590.96,5394.302,-5305.755,-1452.794,1.4613,0.392,-5.1103,-2.5733,-3.7272,-6.7217,-1.0926,-5.5478
2014,Sunco Energy,Energy,46.6,36687.98,20101.82,2445.56,1.47,10935.73,37696.47,8096.9,-6218.56,-1696.21,1.6658,0.3204,9.767,5.1002,7.512,6.6658,-1.3989,10.5487
2013,Sunco Energy,Energy,51.63,39144.5,21525.25,3799.14,2.34,12035.65,40002.25,9811.14,-6346.15,-2751,1.3854,0.2782,10.5508,5.5479,8.4557,9.7054,1.4938,11.4073
2012,Sunco Energy,Energy,49.23,40546.9,22750.41,2784.64,1.8,13487.96,39246.14,8851.21,-6648.92,-1592.93,1.4798,0.2811,12.4485,6.3868,9.932,6.8677,-2.7086,13.5273
2011,Sunco Energy,Energy,44.95,42107.29,23159.62,4355.64,2.68,14517.15,39063.2,10107.85,-4653.17,-2708.11,1.3699,0.2792,14.5717,7.5219,11.5724,10.3442,3.9992,15.8615
2010,Sunco Energy,Energy,56.32,34350,16841,3571,2.27,8450,36721,5486,-3112,-1787,1.2331,0.3319,7.4646,3.9064,5.6646,10.3959,1.2322,8.232
2009,Sunco Energy,Energy,52.57,24848,10079,1146,0.89,4103,34111,2575,-4671,1965,1.0615,0.407,6.4544,3.1567,4.59,4.612,-1.2576,7.1228
2022,TC Energy,Energy,39.66,11520.31,7726.614,493.0572,0.4923,7125.869,26242.03,4903.65,-5391.323,374.6004,0.4337,1.7089,2.4828,0.6865,0.9317,4.2799,-1.054,3.6901
2021,TC Energy,Energy,44.31,10681.49,7411.693,1448.188,1.487,5227.042,26646.67,5497.531,-6153.405,-70.2152,0.5692,1.58,6.8407,1.9632,2.5679,13.5579,-1.1273,9.8299
2020,TC Energy,Energy,40.34,9703.754,6808.827,3327.15,3.5384,7026.805,24694.22,5268.797,-4517.818,-597.2,0.4339,1.4982,16.8832,4.8983,6.423,34.2873,0.3243,24.0822
2019,TC Energy,Energy,47.31,9988.968,7043.146,2996.314,3.218,6910.512,24414.38,5336.995,-5178.739,522.2448,0.5931,1.5402,15.5998,4.4652,5.8878,29.9962,3.5445,25.5622
2018,TC Energy,Energy,26.67,10553.35,7782.892,2730.338,3.024,6128.796,23911.1,5057.183,-7729.659,2120.082,0.3966,1.621,13.0197,3.5554,4.6887,25.8718,-4.7141,23.6135
2017,TC Energy,Energy,42.29,10374.56,7361.47,2311.886,2.6459,4711.711,20743.72,4034.422,-2853.409,-1094.617,0.4738,1.6181,14.8182,3.943,5.1617,22.2842,2.725,27.5501
2016,TC Energy,Energy,34.27,9443.776,6559.667,93.6448,0.121,3840.193,19622.37,3828.109,-14184.92,10578.09,1.0526,1.7263,2.2042,0.5508,0.7109,0.9916,-0.1501,5.3895
2015,TC Energy,Energy,23.07,8854.567,6307.9,-971.6516,-1.371,1560.129,14226.08,3224.473,-3612.35,582.991,0.5357,1.9402,-7.2816,-1.7679,-2.2977,-10.9735,0.3226,-11.2293
2014,TC Energy,Energy,34.71,9228.62,4871.19,1805.85,1.96,4442.609,18713.68,3695.98,-3754.87,-337.97,0.4668,1.3743,8.1819,2.5537,3.3621,19.5679,0.9764,10.8179
2013,TC Energy,Energy,30.87,8545.4,4668.55,1856.34,2.18,4236.28,19560.11,3568.92,-4973.56,1742.69,0.5873,1.2798,8.0175,2.7256,3.4092,21.7233,-2.4665,10.1418
2012,TC Energy,Energy,32.41,8011.72,4383.59,1472.86,1.83,3949.34,18346.81,3573.1,-3257.92,-403.23,0.4802,1.2098,8.073,2.8582,3.6988,18.3838,0.379,10.2065
2011,TC Energy,Energy,29.25,9248.66,5758.28,1731.53,2.18,4805.99,19014.46,4020.67,-3327.45,-698.28,0.619,1.1857,9.0341,3.2388,4.152,18.722,3.748,12.1123
2010,TC Energy,Energy,25.81,7830.14,4806.45,1235.11,1.8,3677.18,17365.36,2992.62,-5262.82,2051.72,0.5718,1.2226,8.5199,3.0467,3.8678,15.7738,1.746,11.5512
2009,TC Energy,Energy,23.47,7892.76,4928.79,1214.81,2,3598.66,14906.11,2632.09,-6085.51,3276.47,0.6415,1.2019,8.7004,3.2534,4.086,15.3915,-4.4878,13.3678
2022,Cenovus Energy ,Energy,37.87,51457.17,25457.44,4934.418,2.461,10655.73,21221.46,8771.188,-1779.929,-5904.379,1.5497,0.3192,23.8271,11.5449,17.7784,9.5894,1.6411,26.1494
2021,Cenovus Energy ,Energy,24.76,36988.25,18252.76,441.2387,0.216,7282.432,18836.82,4722.77,-751.6218,-2000.335,1.6411,0.528,2.5423,1.0849,1.6309,1.1929,1.6654,2.9153
2020,Cenovus Energy ,Energy,7.29,9873.955,6052.622,-1775.923,-1.45,530.0146,12471.78,203.7945,-644.2295,624.8205,1.2616,0.4526,-14.2395,-7.2597,-9.8517,-17.9859,-1.6445,-16.4808
2019,Cenovus Energy ,Energy,12.59,15208.4,8857.061,1653.398,1.34,3243.494,14469.87,2475.576,-1079.155,-1818.437,1.3027,0.3489,11.4265,6.1434,8.471,10.8716,0.8008,12.96
2018,Cenovus Energy ,Energy,9.54,16081.15,9334.379,-2059.134,-1.6742,-391.9198,13476.56,1661.811,-472.9295,-1087.815,1.2288,0.5246,-16.6934,-8.2902,-11.237,-12.8046,-0.4842,-19.1893
2017,Cenovus Energy ,Energy,9.31,13146.97,6949.542,2596.532,2.3528,1690.909,15413.34,2359.713,-9924.832,5025.671,1.1289,0.4761,11.3508,5.5408,7.6897,19.7501,1.1287,12.8071
2016,Cenovus Energy ,Energy,12.61,9163.597,3884.749,-411.584,-0.491,763.5063,8752.768,650.2272,-814.8608,-126.8736,2.5541,0.5463,-4.7023,-2.1577,-3.041,-4.4915,0.0727,-4.8026
2015,Cenovus Energy ,Energy,10.48,10229.11,4441.176,483.894,0.59,2431.215,9702.153,1154.142,695.304,700.002,3.4839,0.5266,4.9875,2.3962,3.2671,4.7306,-1.1229,5.0868
2014,Cenovus Energy ,Energy,15.58,17797.61,3754.879,674.13,0.78,3300.929,9229.53,3194.9,-3941.53,-722.16,1.4187,0.5358,2.8809,1.1883,1.8758,3.7878,0.5472,2.951
2013,Cenovus Energy ,Energy,21.29,18449.8,4552.961,643.06,0.79,4103.22,9661.54,3437.78,-1475.55,-705.23,1.4845,0.5024,9.1561,3.6103,6.0943,3.4855,0.2842,9.891
2012,Cenovus Energy ,Energy,24.99,17239.16,4491.65,993.58,1.31,4139.451,9811.78,3422.01,-3337.96,592.34,1.4003,0.4772,14.097,5.7084,9.5433,5.7635,-0.8115,15.246
2011,Cenovus Energy ,Energy,24.86,16379.22,4335.41,1495.73,1.95,4036.87,9518.87,3312.27,-2560.36,-564.69,1.1544,0.375,13.1703,5.5817,9.5786,9.1319,-2.4728,14.9722
2010,Cenovus Energy ,Energy,25,13032.76,3371.31,964.2,1.34,3054.77,9731.36,2518.77,-1743.91,-612.7,1.1167,0.3424,8.4025,3.8113,6.2591,7.3983,1.2156,9.4874
2009,Cenovus Energy ,Energy,18.93,10140,3026,648,0.86,2838,9180,3496,-1780,-1730,1.244,0.3805,14.2919,6.3838,10.3527,6.3905,2.1307,16.2276
